0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:09:17 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:12:08 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:12:11 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:13:18 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:14:05 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:16:27 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:17:18 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:21:51 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:22:09 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:22:10 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:22:31 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1065
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:23:24 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:23:53 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:23:54 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:23:54 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:25:19 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:25:21 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:26:37 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:27:42 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:29:10 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:35:03 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:35:33 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:36:56 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:37:35 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:37:42 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:38:25 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:38:41 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:38:42 +0530] "GET /advancedJava/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:09:39:59 +0530] "GET /advancedJava/login.html HTTP/1.1" 200 1108
